ngram_from_profilesN-fold results:
,precision, recall, f1, support
avg,0.56,0.55,0.55,3100

PCA allN-fold results:
,precision, recall, f1, support
Advocates,0.51,0.52,0.52,892
HPI,0.48,0.55,0.51,365
HPO,0.43,0.44,0.43,273
Other,0.65,0.66,0.65,963
Patient,0.33,0.21,0.25,274
Research,0.53,0.53,0.53,333
avg,0.49,0.48,0.48,3100

LDA allN-fold results:
,precision, recall, f1, support
Advocates,0.60,0.60,0.60,892
HPI,0.61,0.55,0.58,365
HPO,0.59,0.58,0.58,273
Other,0.68,0.77,0.72,963
Patient,0.52,0.36,0.43,274
Research,0.65,0.66,0.65,333
avg,0.61,0.59,0.59,3100

PCA+LDA allN-fold results:
,precision, recall, f1, support
Advocates,0.58,0.63,0.60,892
HPI,0.62,0.55,0.58,365
HPO,0.52,0.55,0.54,273
Other,0.67,0.73,0.70,963
Patient,0.46,0.27,0.34,274
Research,0.62,0.58,0.60,333
avg,0.58,0.55,0.56,3100

