"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers+","%cg_outliers-","avg_rt_per_cp","dev_rt","%cp_outliers+","%cp_outliers-","cg_reach","dev_cgr","cgr_outliers+","cgr_outliers-","cp_reach","dev_cpr","cpr_outliers+","cpr_outliers-"
"#Leptospirosis","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#CleftLip","1","1.0000","0.0000","2.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Osteoarthritis","1","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#ShakenBabyFacts","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#SystemicSclerosis","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#MemoryLoss","1","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#CowdensSyndrome","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#EhlersDanlos","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#STEMI","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#IIH","2","1.0000","0.5000","1.0000","0.0000","-1.0000","-1.0000","1.0000","0.0000","-1.0000","-1.0000","213.0000","111.0158","-1.0000","-1.0000","426.0000","0.0000","-1.0000","-1.0000"
"#Dementia","105","1.0000","0.1619","1.4667","1.4680","-1.0000","-1.0000","1.1765","2.9104","0.0000","0.1176","965.9714","10489.5263","0.0000","0.1238","5966.2941","14534.8276","0.0000","0.1176"
"#Hypermobility","2","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","138.5929","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#antiNMDAr","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#MacularDegeneration","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Preeclampsia","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"unknown-#TCisNoJoke","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#GERD","3","1.0000","0.0000","4.6667","5.5076","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","958.6419","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Congestionnasal","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Peyronies","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Thrombosis","1","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#sarcoma","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Celiac","5","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","1846.9956","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#HepB","15","1.0000","0.2000","1.4000","1.2984","-1.0000","-1.0000","1.0000","0.0000","-1.0000","-1.0000","537.2000","8995.3088","0.0000","0.1333","2686.0000","2585.2878","-1.0000","-1.0000"
"#Urticaria","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#SCADheart","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#ESUS","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#AnosmiaHope","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#microcephaly","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Cushings","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#takotsubo","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#CryptogenicStroke","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#pleuralEffusion","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Shingles","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#EDS","7","1.0000","0.2857","1.2857","0.4880","-1.0000","-1.0000","1.0000","0.0000","-1.0000","-1.0000","229.5714","740.5179","-1.0000","-1.0000","803.5000","533.8656","-1.0000","-1.0000"
"unknown-#hpbcsm","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Hyperglycemia","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Ichthyosis","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#TBI","5","1.0000","0.0000","1.2000","0.4472","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","1642.2185","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#XMRV","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Leprosy","3","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","1198.6655","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Varicose","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"unknown-#OCAMChat","1","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#basalcellcarcinoma","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#delirium","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Dyslexia","15","1.0000","0.0667","1.4000","0.7368","0.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","33.1333","14870.4453","0.0000","0.2000","497.0000","0.0000","-1.0000","-1.0000"
"#YeastInfection","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#giardia","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"unknown-#KnowFH","3","1.0000","0.3333","1.3333","0.5774","-1.0000","-1.0000","2.0000","0.0000","-1.0000","-1.0000","44.6667","3577.0581","-1.0000","-1.0000","134.0000","0.0000","-1.0000","-1.0000"
"#Parkinsons","3","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","650.0341","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#varicella","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#AFib","13","1.0000","0.3846","1.6154","0.9608","0.0000","0.0769","1.6000","1.3038","-1.0000","-1.0000","1286.3846","4645.6216","0.0000","0.1538","3344.6000","4995.4386","-1.0000","-1.0000"
"#Cardiomyopathy","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Ataxia","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#MyastheniaGravis","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#skintag","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Cholera","2","1.0000","0.0000","1.5000","0.7071","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","25040.7724","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#pancreatitis","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#HeartFailure","18","1.0000","0.0556","1.1111","0.4714","-1.0000","-1.0000","1.0000","0.0000","-1.0000","-1.0000","17.6667","4358.0250","0.0000","0.1111","318.0000","0.0000","-1.0000","-1.0000"
"#HoFH","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#eosinophilicesophagitis","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Mesothelioma","2","1.0000","0.0000","2.0000","1.4142","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","542.3509","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#TNBC","2","1.0000","0.0000","1.5000","0.7071","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","4692.3606","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Hernia","2","1.0000","0.0000","2.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","560.7357","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#chickenpox","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Asthma","23","1.0000","0.2609","1.0435","0.2085","-1.0000","-1.0000","1.0000","0.0000","-1.0000","-1.0000","168.6957","1634.6436","0.0000","0.0435","646.6667","610.4437","-1.0000","-1.0000"
"#SickleCell","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#PolycysticOvarianSyndrome","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#ChronicMigraine","1","1.0000","0.0000","2.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Rhabdomyosarcoma","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Adhesions","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"unknown-#MenHaveBreastsToo","1","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Enterovirus68","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#KidneyDisease","6","1.0000","0.3333","1.3333","0.8165","-1.0000","-1.0000","1.0000","1.4142","-1.0000","-1.0000","388.6667","894.7661","-1.0000","-1.0000","1166.0000","1516.0369","-1.0000","-1.0000"
"#Colitis","5","1.0000","0.6000","2.2000","1.3038","-1.0000","-1.0000","1.6667","1.0000","-1.0000","-1.0000","1583.8000","1846.5088","-1.0000","-1.0000","2639.6667","2193.4362","-1.0000","-1.0000"
"#BleedingDisorder","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Polymyalgia","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#AnxietyDisorder","1","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#hidradenitissuppurativa","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#preventaccreta","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#MCAM","3","1.0000","1.0000","1.3333","0.5774","-1.0000","-1.0000","1.0000","0.5774","-1.0000","-1.0000","2540.6667","2229.9534","-1.0000","-1.0000","2540.6667","2229.9534","-1.0000","-1.0000"
"#RiftValleyFever","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#AnorexiaNervosa","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#ThroatCancer","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#ADHD","33","1.0000","0.0606","1.3939","1.1974","-1.0000","-1.0000","1.5000","2.1213","-1.0000","-1.0000","82.0606","8082.3281","0.0000","0.1515","1354.0000","1875.2472","-1.0000","-1.0000"
"#praderwilli","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Rheum","4","1.0000","0.5000","1.5000","0.5774","-1.0000","-1.0000","1.0000","0.7071","-1.0000","-1.0000","184.2500","228.8717","-1.0000","-1.0000","368.5000","129.4005","-1.0000","-1.0000"
"#porphyria","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"unknown-#CRCSM","15","1.0000","0.0667","1.2667","0.4577","0.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","14.2667","5850.3387","0.0000","0.0667","214.0000","0.0000","-1.0000","-1.0000"
"#BodyDysmorphicDisorder","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#BowelCancer","1","1.0000","1.0000","1.0000","0.0000","-1.0000","-1.0000","1.0000","0.0000","-1.0000","-1.0000","20.0000","0.0000","-1.0000","-1.0000","20.0000","0.0000","-1.0000","-1.0000"
"#KidneyStones","3","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","9606.1165","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Gestationaldiabetes","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"unknown-#BCD2020","79","1.0000","0.1646","1.3671","1.2928","-1.0000","-1.0000","1.0769","0.8697","-1.0000","-1.0000","570.5949","19585.2097","0.0000","0.1646","3467.4615","5759.7748","0.0000","0.1538"
"#KeratosisPilaris","1","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#BladderCancer","17","1.0000","0.2353","1.4706","0.8745","0.0000","0.0588","1.0000","1.4142","-1.0000","-1.0000","350.4118","34722.6746","0.0000","0.1765","1489.2500","1753.8315","-1.0000","-1.0000"
"#Bipolar","44","1.0000","0.1818","1.6818","2.4378","0.0000","0.0227","1.1250","0.5175","-1.0000","-1.0000","828.9545","13957.6238","0.0000","0.1136","4559.2500","4340.5441","-1.0000","-1.0000"
"#Hypoglycemia","3","1.0000","0.3333","1.0000","0.0000","-1.0000","-1.0000","1.0000","0.0000","-1.0000","-1.0000","4362.6667","7400.5673","-1.0000","-1.0000","13088.0000","0.0000","-1.0000","-1.0000"
"#PulmonaryEmbolism","1","1.0000","0.0000","1.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Synesthesia","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#ClusterHeadaches","1","1.0000","1.0000","1.0000","0.0000","-1.0000","-1.0000","1.0000","0.0000","-1.0000","-1.0000","224.0000","0.0000","-1.0000","-1.0000","224.0000","0.0000","-1.0000","-1.0000"
"#Andropause","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Neuropathy","3","1.0000","0.0000","2.6667","2.8868","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","46.9184","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Paget","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#EColi","10","1.0000","0.2000","1.1000","0.3162","-1.0000","-1.0000","1.0000","0.7071","-1.0000","-1.0000","499.8000","1553.3486","0.0000","0.2000","2499.0000","3157.9389","-1.0000","-1.0000"
"#GaucherDisease","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#LiverDisease","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Cerebral","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#colic","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Lymphoedema","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Dialysis","7","1.0000","0.1429","1.4286","0.7868","-1.0000","-1.0000","1.0000","0.0000","-1.0000","-1.0000","319.7143","3388.0619","-1.0000","-1.0000","2238.0000","0.0000","-1.0000","-1.0000"
