ngram_from_profilesN-fold results:,,,,
,precision, recall, f1, support
,precision, recall, f1, support
Advocates,0.67,0.49,0.57,892
HPI,0.52,0.55,0.53,365
HPO,0.52,0.57,0.55,273
Other,0.63,0.75,0.69,963
Patient,0.47,0.51,0.49,274
Research,0.66,0.63,0.64,333
avg,0.58,0.58,0.58,3100
,,,,
basic + user_urlN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.39,0.21,0.28,892
HPI,0.27,0.07,0.12,365
HPO,0.19,0.75,0.3,273
Other,0.53,0.67,0.59,963
Patient,0.23,0.08,0.12,274
Research,0.24,0.08,0.11,333
avg,0.31,0.31,0.25,3100
,,,,
basic + auto_dict+textN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.52,0.45,0.49,892
HPI,0.43,0.44,0.44,365
HPO,0.35,0.42,0.38,273
Other,0.65,0.65,0.65,963
Patient,0.33,0.39,0.36,274
Research,0.5,0.52,0.51,333
avg,0.47,0.48,0.47,3100
,,,,
PCA from basic + autocreated_dict + manual_dictN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.65,0.48,0.55,892
HPI,0.49,0.53,0.51,365
HPO,0.47,0.57,0.51,273
Other,0.69,0.72,0.71,963
Patient,0.44,0.53,0.48,274
Research,0.63,0.71,0.67,333
avg,0.56,0.59,0.57,3100
,,,,
LDA from basic + autocreated_dict + manual_dictN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.68,0.53,0.6,892
HPI,0.53,0.53,0.53,365
HPO,0.58,0.58,0.58,273
Other,0.66,0.76,0.71,963
Patient,0.51,0.52,0.52,274
Research,0.64,0.72,0.68,333
avg,0.6,0.61,0.6,3100
,,,,
PCA allN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.66,0.52,0.58,892
HPI,0.57,0.57,0.57,365
HPO,0.51,0.58,0.54,273
Other,0.7,0.76,0.73,963
Patient,0.46,0.57,0.51,274
Research,0.65,0.69,0.67,333
avg,0.59,0.61,0.6,3100
,,,,
LDA allN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.69,0.56,0.62,892
HPI,0.62,0.59,0.6,365
HPO,0.58,0.61,0.6,273
Other,0.69,0.81,0.75,963
Patient,0.55,0.54,0.54,274
Research,0.64,0.71,0.68,333
avg,0.63,0.63,0.63,3100
,,,,
PCA+LDA allN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.68,0.55,0.61,892
HPI,0.61,0.58,0.59,365
HPO,0.53,0.59,0.56,273
Other,0.69,0.79,0.74,963
Patient,0.52,0.54,0.53,274
Research,0.65,0.7,0.67,333
avg,0.61,0.62,0.62,3100
,,,,
PCA text+numericN-fold results:,,,,
,precision, recall, f1, support
Advocates,0.64,0.29,0.4,892
HPI,0.49,0.5,0.49,365
HPO,0.35,0.51,0.41,273
Other,0.59,0.83,0.69,963
Patient,0.4,0.51,0.45,274
Research,0.46,0.3,0.37,333
avg,0.49,0.49,0.47,3100
LDA text+numericN-fold results:
,precision, recall, f1, support
Advocates,0.99,0.89,0.94,892
HPI,0.96,0.85,0.90,365
HPO,1.00,0.96,0.98,273
Other,0.97,1.00,0.98,963
Patient,0.75,1.00,0.86,274
Research,0.88,0.95,0.91,333
avg,0.93,0.94,0.93,3100

LDA text+ all_numericN-fold results:
,precision, recall, f1, support
Advocates,0.99,0.90,0.94,892
HPI,0.96,0.85,0.90,365
HPO,1.00,0.96,0.98,273
Other,0.97,0.99,0.98,963
Patient,0.75,1.00,0.86,274
Research,0.88,0.95,0.91,333
avg,0.93,0.94,0.93,3100

